id,date,status,system,backend,driver,tool,build_or_version,model,quant,workload,result,structured_csv,raw_evidence,chart,notes
qwen3-coder-30b-q4ks-b9851-direct-101,2026-06-30,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-bench,b9851 0eca4d490,Qwen3-Coder 30B-A3B,Q4_K_S,pp512/tg128 llama-bench r50 with b2048 ub512 flash attention and explicit -dev Vulkan0,100.99 tg128; 1423.05 pp512,data/benchmarks.csv,data/raw/2026-06-30/latest-llamacpp-b9851-vulkan-sentinel/qwen3-coder-q4ks-b9851-p512-n128-r50.csv,n/a,First first-party direct Qwen3-Coder row above 100 t/s using the official b9851 Ubuntu Vulkan release binary. Speed-first Q4_K_S quant; not the balanced default and not an MTP/server result. T3 remained running and root RustDesk service remained present; older b9179 strict-clean 98.51 row remains historical context.
qwen36-35b-ollama-0312-system-api,2026-07-10,measured-local,Beelink GTR9 Pro,Ollama Vulkan,RADV,Ollama API,0.31.2 system service,Qwen3.6 35B-A3B,Q4_K_M,Ollama /api/generate warm average with num_predict 128,60.57 t/s warm generation average; 60.00-61.22 t/s range,data/benchmarks.csv,data/raw/2026-07-10/ollama-0312-buyer-path/,n/a,"Normal system-service upgrade path; 9 warm API runs after one cold run; OLLAMA_IGPU_ENABLE=1 retained the Radeon 8060S and Ollama reported 100% GPU; Qwen2.5-VL 7B vision and service-restart persistence passed; slower than the separate user-local 0.31.1 71.82 t/s row; buyer-path evidence, not direct llama-bench."
qwen3-30b-a3b-2507-iq4xs-direct-100,2026-06-02,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-bench,b9467 1fd5f4803,Qwen3-30B-A3B-Instruct-2507,IQ4_XS,pp512/tg128 llama-bench r50 with b2048 ub512 and flash attention,100.04 tg128; 1416.03 pp512; r20 was 100.58 tg128,data/benchmarks.csv,data/raw/2026-06-02/qwen3-30b-a3b-2507-direct-scout/qwen3-30b-2507-iq4xs-b9467-r50.csv,n/a,First local direct llama-bench row above 100 t/s on Strix Halo; separate general-instruct Qwen route; not the Qwen3-Coder headline or balanced-default claim; model hash recorded in data/raw/2026-06-02/qwen3-30b-a3b-2507-direct-scout/model-iq4xs.sha256.
lfm25-8b-a1b-small-moe-speed,2026-06-05,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-bench,2016bf2,LFM2.5 8B-A1B,Q4_K_M,pp512/tg128 llama-bench r5 plus generation-only p0/n128 r20,168.96 tg128; 3414.61 pp512; generation-only 170.02 tg128,data/benchmarks.csv,data/raw/2026-06-05/latest-llamacpp-intdot-regression/lfm25-8b-a1b-q4km-b2016bf2-r5.csv,n/a,Fastest current small-MoE scout in this guide; not a 30B-class capability replacement and not directly comparable to the Qwen3-Coder headline.
nemotron-3-super-120b-direct-capacity,2026-06-05,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-bench,2016bf2,Nemotron 3 Super 120B-A12B,UD-IQ4_XS,pp512/tg128 llama-bench r3,18.43 tg128; 294.99 pp512,data/benchmarks.csv,data/raw/2026-06-05/latest-llamacpp-intdot-regression/nemotron-3-super-120b-a12b-udiq4xs-b2016bf2-r3.csv,n/a,Direct 120B-class MoE GGUF capacity/current-model proof on one 128GB Strix Halo system; not a speed headline.
gemma4-26b-qat-mtp-server-103-110,2026-06-12,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-server,ac4cddeb0 build 9592,Gemma 4 26B-A4B IT QAT,UD-Q4_K_XL + Q4_0 MTP head,llama-server /completion six-prompt speculative decoding with n_predict 192 and draft-n=3,102.69 t/s cold repeat; 107.42 t/s T3-only repeat; 110.00 t/s best repeat; 73.96 t/s no-spec baseline,data/mtp_speculative.csv,data/raw/2026-06-12/gemma4-26b-qat-mtp-cold-repeat-ac4cddeb/,n/a,Experimental server/speculative route with matched Gemma QAT MTP head; not a direct llama-bench result; warm-repeat and T3-only evidence are linked through data/mtp_speculative.csv; keep separate from Qwen3.6 MTP and direct Qwen 100 t/s claims.
chadrock-ace-saber-rocmfpx-mtp-140,2026-06-21,measured-local,Beelink GTR9 Pro,Vulkan/ROCmFPX,RADV,llama-server,deaa996,Qwen3.6 35B-A3B NSC ACE/SABER MTP,ROCmFP4 STRIX_LEAN + MTP,llama-server /completion speculative decoding with ROCmFPX helper runner and request-level n_max=4 p_min=0.25,139.93-140.40 t/s gen512 high-acceptance repeats; 127.77 t/s gen2048 check,data/mtp_speculative.csv,data/raw/2026-06-21/rocmfpx-chadrock-ace-saber-helper-repro/,n/a,Experimental ROCmFPX/CHADROCK server route; reproduced only on a 3946-token high-acceptance prompt; not direct llama-bench and not a beginner/default setup path.
qwen36-35b-ollama-0311-api,2026-07-02,measured-local,Beelink GTR9 Pro,Ollama Vulkan,RADV,Ollama API,0.31.1 local binary,Qwen3.6 35B-A3B,Q4_K_M,Ollama /api/generate warm average with num_predict 128,71.82 t/s warm generation average; 944.17 prompt eval t/s,data/benchmarks.csv,data/raw/2026-07-02/ollama-0311-qwen36-buyer-path/,n/a,User-local Ollama 0.31.1 binary on port 11435 using existing model cache; 9 warm API runs after one cold run; required OLLAMA_IGPU_ENABLE=1 to keep Radeon 8060S active; buyer-path sanity check and not direct llama-bench.
qwen3-coder-30b-q4ks-speed-first,2026-05-16,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-bench,b9179 b81c2cdd7,Qwen3-Coder 30B-A3B,Q4_K_S,pp512/tg128 llama-bench r50 strict-clean host state,98.51 tg128; 1396.11 pp512,data/benchmarks.csv,data/raw/2026-05-16/break-97-24-strict-noise-settings/b9179-q4-k-s-r50.csv,n/a,New measured speed-first peak; Q4_K_S is a lower-quality speed quant candidate; tuned active and power-profiles-daemon inactive; nonessential GUI/video/media noise paused; not the balanced UD default.
qwen3-coder-30b-llama-bench,2026-05-07,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-bench,b9049 2496f9c14,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,pp512/tg128 llama-bench r20 guide flags,96.76 tg128; 1320.52 pp512,data/max_performance_campaign.csv,data/raw/2026-05-07/max-performance-campaign/benchmarks/qwen3-coder-top-confirm-r20/guide.csv,n/a,Current balanced UD campaign confirms a 96-97 t/s path; previous b9010 balanced peak was 97.24 t/s.
