family,variant,exact_model,backend,command_settings,raw_output_summary,notes
Qwen 3.5 35B MXFP4,think-on,/home/keith/models/qwen3.5-35b-a3b/Qwen3.5-35B-A3B-MXFP4_MOE.gguf,Lemonade llama.cpp ROCm b9247,"GGUF_PATH=... CTX_SIZE=8192 FLASH_ATTN=auto BATCH_SIZE=2048 UBATCH_SIZE=2048 PARALLEL=1 scripts/lemonade_qwen35_gguf_smoke.sh serve","79/84; 47.3 tok/s; 562.9 tok/s; nonce 3/3; coding 1/3",
Qwen 3.5 35B MXFP4,think-off,/home/keith/models/qwen3.5-35b-a3b/Qwen3.5-35B-A3B-MXFP4_MOE.gguf,Lemonade llama.cpp ROCm b9247,"GGUF_PATH=... CTX_SIZE=8192 ... EXTRA_ARGS='--jinja --chat-template-kwargs {\"enable_thinking\":false}'","75/84 est.; 46.8 tok/s; 562.9 tok/s; nonce 3/3; coding 0/3",
Qwen 3.5 35B Q6_K,think-on,/home/keith/models/qwen3.5-35b-a3b-q6/Qwen3.5-35B-A3B-Q6_K.gguf,Lemonade llama.cpp ROCm b9247,"GGUF_PATH=... CTX_SIZE=8192 ... scripts/qwen35_q6.sh serve","81/84; 44.8 tok/s; 510.5 tok/s; nonce 3/3",
Qwen 3.5 35B Q6_K,think-off,/home/keith/models/qwen3.5-35b-a3b-q6/Qwen3.5-35B-A3B-Q6_K.gguf,Lemonade llama.cpp ROCm b9247,"GGUF_PATH=... CTX_SIZE=8192 ... EXTRA_ARGS='--jinja --chat-template-kwargs {\"enable_thinking\":false}'","77/84 est.; 46.2 tok/s; 510.5 tok/s; nonce 3/3",
Qwen 3.5 122B-A10B,think-on,/home/keith/llm-models/massive/qwen3.5-122b-a10b/Qwen3.5-122B-A10B-MXFP4_MOE-00001-of-00003.gguf,Lemonade llama.cpp ROCm b9247,"launcher: research/apellegr-strix-halo-models/scripts/server/start-qwen35-122b.sh; recorded bench settings: ctx 12288, max_tokens 6000, batch 4096, ubatch 2048, no-mmap, jinja, flash-attn on, reasoning-budget 0","80/84; 19.4 tok/s; 136.0 tok/s; nonce 3/3; coding 3/3",
Qwen 3.5 122B-A10B,think-off,/home/keith/llm-models/massive/qwen3.5-122b-a10b/Qwen3.5-122B-A10B-MXFP4_MOE-00001-of-00003.gguf,Lemonade llama.cpp ROCm b9247,"launcher: research/apellegr-strix-halo-models/scripts/server/start-qwen35-122b.sh; recorded bench settings: ctx 12288, max_tokens 6000, batch 4096, ubatch 2048, no-mmap, jinja, flash-attn on, reasoning-budget 0","81/84; 19.5 tok/s; 136.0 tok/s; nonce 3/3; coding 3/3",
Qwen3-Coder-Next Q4,,/home/keith/models/qwen3-coder-next/Qwen3-Coder-Next-UD-Q4_K_XL.gguf,Lemonade llama.cpp ROCm,"server 127.0.0.1:8097; --jinja --reasoning off; profile qwen3coderplan ctx 64000 vs live CTX_SIZE 32768","34.6 tok/s; 127 tok/s; nonce 3/3; coding 3/3","raw samples only"
Qwen 3.6 27B Dense,think-on,/home/keith/Desktop/github/lucebox-hub/dflash/models/Qwen3.6-27B-Q4_K_M.gguf,Lucebox HIP/DFlash,"export LUCE_TARGET=...Q4_K_M.gguf; LUCE_DRAFT=...DFlash-Q4_K_M.gguf; LUCE_BIN=.../build-hip/test_dflash; LUCE_PREFIX_CACHE_SLOTS=1; DFLASH_ENABLE_THINKING=1; LUCE_CHAT_TEMPLATE_FILE=.../chat_template.jinja; exec scripts/start_luce.sh","~7.0 tok/s; nonce 3/3; coding 3/3","matrix row"
Qwen 3.6 27B Dense,think-off,/home/keith/Desktop/github/lucebox-hub/dflash/models/Qwen3.6-27B-Q4_K_M.gguf,Lucebox HIP/DFlash,"same as think-on but with thinking disabled in the Lucebox harness","~7.0 tok/s; nonce 3/3; coding 1/3","matrix row"
Qwen 3.6 35B-A3B MXFP4,think-on,/home/keith/models/qwen3.6-35b-a3b/Qwen3.6-35B-A3B-MXFP4_MOE.gguf,Lemonade llama.cpp ROCm b9247,"scripts/qwen36_agent.sh all or serve; CTX_SIZE=32768 FLASH_ATTN=on BATCH_SIZE=2048 UBATCH_SIZE=2048 PARALLEL=1","82/84; 44.2 tok/s; 628.1 tok/s; nonce 3/3; coding 3/3",
