id,date,status,system,backend,driver,tool,build_or_version,model,quant,workload,result,structured_csv,raw_evidence,chart,notes
qwen35-35b-mxfp4-think-on,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Lemonade llama.cpp ROCm b9247",ROCm,llama-bench,b9247,"Qwen 3.5 35B MXFP4","MXFP4","think-on benchmark","79/84; 47.3 tok/s; 562.9 tok/s; nonce 3/3; coding 1/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,
qwen35-35b-mxfp4-think-off,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Lemonade llama.cpp ROCm b9247",ROCm,llama-bench,b9247,"Qwen 3.5 35B MXFP4","MXFP4","think-off benchmark","75/84 est.; 46.8 tok/s; 562.9 tok/s; nonce 3/3; coding 0/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,
qwen35-35b-q6k-think-on,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Lemonade llama.cpp ROCm b9247",ROCm,llama-bench,b9247,"Qwen 3.5 35B Q6_K","Q6_K","think-on benchmark","81/84; 44.8 tok/s; 510.5 tok/s; nonce 3/3; coding -",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,
qwen35-35b-q6k-think-off,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Lemonade llama.cpp ROCm b9247",ROCm,llama-bench,b9247,"Qwen 3.5 35B Q6_K","Q6_K","think-off benchmark","77/84 est.; 46.2 tok/s; 510.5 tok/s; nonce 3/3; coding -",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,
qwen35-122b-a10b-think-on,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Lemonade llama.cpp ROCm b9247",ROCm,llama-server,b9247,"Qwen 3.5 122B-A10B","MXFP4","think-on benchmark","80/84; 19.4 tok/s; 136.0 tok/s; nonce 3/3; coding 3/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,
qwen35-122b-a10b-think-off,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Lemonade llama.cpp ROCm b9247",ROCm,llama-server,b9247,"Qwen 3.5 122B-A10B","MXFP4","think-off benchmark","81/84; 19.5 tok/s; 136.0 tok/s; nonce 3/3; coding 3/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,
qwen3-coder-next-q4,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Lemonade llama.cpp ROCm",ROCm,llama-server,n/a,"Qwen3-Coder-Next Q4","Q4_K_XL","raw samples only","34.6 tok/s; 127 tok/s; nonce 3/3; coding 3/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"raw samples only"
qwen36-27b-dense-think-on,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Lucebox HIP/DFlash",HIP/DFlash,custom DFlash harness,n/a,"Qwen 3.6 27B Dense","Q4_K_M","think-on benchmark","~7.0 tok/s; nonce 3/3; coding 3/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"matrix row"
qwen36-27b-dense-think-off,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Lucebox HIP/DFlash",HIP/DFlash,custom DFlash harness,n/a,"Qwen 3.6 27B Dense","Q4_K_M","think-off benchmark","~7.0 tok/s; nonce 3/3; coding 1/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"matrix row"
qwen36-35b-mxfp4-think-on,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Lemonade llama.cpp ROCm b9247",ROCm,llama-bench,b9247,"Qwen 3.6 35B-A3B MXFP4","MXFP4","think-on benchmark","82/84; 44.2 tok/s; 628.1 tok/s; nonce 3/3; coding 3/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,
