date,contributor,source,status,system,stack,model,quant,backend,workload,pp_tps,tg_tps,quality_or_gate,power_or_thermal,notes,raw_evidence
2026-06-03,boxwrench,https://github.com/hogeheer499-commits/strix-halo-guide/issues/4#issuecomment-4608440144,community-reported,Nimo AI Mini PC,"Ubuntu 25.04; kernel 6.18.1; Mesa 25.2.8; ROCm 7.1.1 baseline; 128GB unified; UMA 4GB; IOMMU on","Qwen 3.6 35B-A3B MXFP4",MXFP4,Lemonade llama.cpp ROCm b9247,"server/eval harness; CTX_SIZE=32768; batch 2048; ubatch 2048",628.1,44.2,"82/84; nonce 3/3; coding 3/3",,"Community serving/eval row; not a direct Beelink llama-bench headline.",data/raw/2026-06-03/community-nimo-issue4/RAW-BENCHMARK-ROWS.md
2026-06-03,boxwrench,https://github.com/hogeheer499-commits/strix-halo-guide/issues/4#issuecomment-4608440144,community-reported,Nimo AI Mini PC,"Ubuntu 25.04; kernel 6.18.1; Mesa 25.2.8; 128GB unified; UMA 4GB; IOMMU on","Qwen 3.6 35B MTP Q4_K_M",MTP Q4_K_M,Vulkan/RADV b9360 llama-server,"MTP server; DRAFT_N=2; UBATCH=1024; POLL=100; THREADS=16",,81.2,"nonce 3/3; coding PASS; 4-2 win vs production MXFP4",,"Server/speculative route; keep separate from direct llama-bench headline rows.",data/raw/2026-06-03/community-nimo-issue4/RAW-BENCHMARK-ROWS.md
2026-06-03,boxwrench,https://github.com/hogeheer499-commits/strix-halo-guide/issues/4#issuecomment-4609454404,community-reported,Nimo AI Mini PC,"Ubuntu 25.04; kernel 6.18.1; Mesa 25.2.8; 128GB unified; UMA 4GB; IOMMU on",Qwen3-Coder-Next,UD-Q4_K_XL,Vulkan/RADV b9360 llama-server,"server/eval harness; 32768 context",723.2,44.4,"nonce 3/3; one orchestrated 4-step coding run passed","~85W prefill peak; ~70W decode PPT; no thermal throttle reported","Vulkan beat the contributor's ROCm baseline of 663.4 pp / 38.5 decode in this harness.",data/raw/2026-06-03/community-nimo-issue4/QWEN3-CODER-NEXT-NUMBERS.md
2026-06-03,boxwrench,https://github.com/hogeheer499-commits/strix-halo-guide/issues/4#issuecomment-4608440144,community-reported,Nimo AI Mini PC,"Ubuntu 25.04; kernel 6.18.1; ROCm 7.1.1 baseline; 128GB unified; UMA 4GB; IOMMU on","Qwen 3.5 122B-A10B",MXFP4,Lemonade llama.cpp ROCm b9247,"server/eval harness; ctx 12288; max_tokens 6000; batch 4096; ubatch 2048",136.0,19.5,"81/84; nonce 3/3; coding 3/3",,"Large-model feasibility row for 122B-class local serving on 128GB unified memory.",data/raw/2026-06-03/community-nimo-issue4/RAW-BENCHMARK-ROWS.md
2026-06-03,boxwrench,https://github.com/hogeheer499-commits/strix-halo-guide/issues/4#issuecomment-4614458467,community-reported,Nimo AI Mini PC,"Ubuntu 25.04; kernel 6.18.1; Mesa 25.2.8; 128GB unified; UMA 4GB; IOMMU on","Qwen 3.5 122B-A10B MTP",MXFP4_MOE,Vulkan/RADV b9360 llama-server,"MTP tuning sweep; best DRAFT_N=1 with PMIN unset",332.1,28.3,"nonce 3/3; coding gate PASS; pairwise 3-3 tie vs previous DRAFT_N=2","~98W prefill peak and ~72-73W decode in earlier MTP note; no thermal throttle reported","PMIN pruning improved validation percentage but reduced generation throughput; DRAFT_N=1 unset was best single-stream decode.",data/raw/2026-06-03/community-nimo-issue4/QWEN122B-MTP-TUNING-NUMBERS.md
2026-06-03,boxwrench,https://github.com/hogeheer499-commits/strix-halo-guide/issues/4#issuecomment-4608556237,community-reported,Nimo AI Mini PC,"Ubuntu 25.04; kernel 6.18.1; Mesa 25.2.8; 128GB unified; UMA 4GB; IOMMU on","StepFun Step-3.7-Flash",UD-IQ4_XS,Vulkan/RADV b9360 llama-server,"server/eval harness; gate ctx 16384; coding ctx 32768",43.13,22.28,"nonce 3/3; coding eval 4/5; pairwise 6/0 vs gpt-oss-120b-soulfix","45C to 58C plateau; 84-85W decode PPT; no thermal throttle reported","198B-class sparse MoE feasibility row; not comparable to 30B direct llama-bench rows.",data/raw/2026-06-03/community-nimo-issue4/STEPFUN-NUMBERS.md
2026-06-03,boxwrench,https://github.com/hogeheer499-commits/strix-halo-guide/issues/4#issuecomment-4609553206,community-reported,Nimo AI Mini PC,"Ubuntu 25.04; kernel 6.18.1; Mesa 25.2.8; 128GB unified; UMA 4GB; IOMMU on","StepFun Step-3.7-Flash MTP","UD-IQ4_XS + Q8_0 draft",Vulkan/RADV b9360 patched llama-server,"MTP server/eval harness; gate ctx 12288; coding ctx 12288",211.2,26.0,"nonce 3/3; coding eval 5/5; draft acceptance 84.7% from raw timing logs","~101W prefill peak; ~73W decode PPT; no thermal throttle reported","MTP improved decode about 27.5% vs the contributor's non-MTP baseline in this harness.",data/raw/2026-06-03/community-nimo-issue4/STEPFUN-MTP-NUMBERS.md
2026-06-03,boxwrench,https://github.com/hogeheer499-commits/strix-halo-guide/issues/4#issuecomment-4608440144,community-reported,Nimo AI Mini PC,"Ubuntu 25.04; kernel 6.18.1; Mesa 25.2.8; 128GB unified; UMA 4GB; IOMMU on","Qwen 3.6 27B Dense",Q4_K_M,Lucebox HIP / DFlash,"DFlash matrix row with target and draft GGUF",,7.0,"nonce 3/3; coding 3/3 think-on",,"Useful negative/control evidence: functional, but not a speed route in this bundle.",data/raw/2026-06-03/community-nimo-issue4/RAW-BENCHMARK-ROWS.md
2026-06-06,boxwrench,https://github.com/hogeheer499-commits/strix-halo-guide/issues/4#issuecomment-4639263658,community-reported,Nimo AI Mini PC follow-up,"llama.cpp b9360 Vulkan/RADV; Atomic llama.cpp TurboQuant fork for MTP; 128GB unified; GTT ceiling 96 GiB","Gemma 4 12B QAT Q4_0","QAT Q4_0 + Q8_0 matched MTP head",Atomic TurboQuant Vulkan/RADV b9360,"server/eval harness; MTP qathead Q8 Q8KV; gate ctx 12288",539.9,45.6,"MTP acceptance 78.4%; +77.4% decode vs plain QAT; wall 42.1% faster","~106W pre-decode; ~76W post-decode; no thermal throttle reported","Matched QAT head improves single-stream decode; not stock llama.cpp; MTP PARALLEL=1 only.",data/raw/2026-06-06/community-nimo-gemma4-qat-issue4/GEMMA4-QAT-NUMBERS.md
2026-06-06,boxwrench,https://github.com/hogeheer499-commits/strix-halo-guide/issues/4#issuecomment-4639263658,community-reported,Nimo AI Mini PC follow-up,"llama.cpp b9360 Vulkan/RADV; Atomic llama.cpp TurboQuant fork for MTP; 128GB unified; GTT ceiling 96 GiB","Gemma 4 26B-A4B QAT Q4_0","QAT Q4_0 + Q8_0 matched MTP head",Atomic TurboQuant Vulkan/RADV b9360,"server/eval harness; MTP qathead Q8 Q8KV; gate ctx 12288",729.3,71.4,"MTP acceptance 91.8%; +20.2% decode vs plain QAT; non-QAT head acceptance was 56.9%","~105W pre-decode; ~78W post-decode; no thermal throttle reported","Best single-stream Gemma QAT row in this bundle; plain server still wins 2-slot aggregate due MTP PARALLEL=2 crash.",data/raw/2026-06-06/community-nimo-gemma4-qat-issue4/GEMMA4-QAT-NUMBERS.md
2026-06-06,boxwrench,https://github.com/hogeheer499-commits/strix-halo-guide/issues/4#issuecomment-4639263658,community-reported,Nimo AI Mini PC follow-up,"llama.cpp b9360 Vulkan/RADV; Atomic llama.cpp TurboQuant fork for MTP; 128GB unified; GTT ceiling 96 GiB","Gemma 4 31B QAT Q4_0","QAT Q4_0 + Q8_0 matched MTP head",Atomic TurboQuant Vulkan/RADV b9360,"server/eval harness; MTP qathead Q8 F16KV; gate ctx 12288",203.6,19.1,"MTP acceptance 60.4%; +73.6% decode vs plain QAT; wall 41.1% faster","~79W pre-decode; ~75W post-decode; no thermal throttle reported","Dense 31B route is bandwidth-limited plain at 11.0 tok/s; MTP recovers single-stream speed.",data/raw/2026-06-06/community-nimo-gemma4-qat-issue4/GEMMA4-QAT-NUMBERS.md
